"year","news","pages","sort"
"1903","Harrisonburg Daily News - 1903 March 04","4","2214"
"1905","Harrisonburg Daily News - 1905 May 20","11","2681"
"1905","Harrisonburg Daily News - 1905 August 23","4","2758"
"1906","Harrisonburg Daily News - 1906 April 02","4","2964"
"1906","Harrisonburg Daily News - 1906 July 14","4","3029"
"1906","Harrisonburg Daily News - 1906 August 15","4","3055"
"1906","Harrisonburg Daily News - 1906 October 12","4","3104"
"1906","Harrisonburg Daily News - 1906 November 19","4","3128"
"1907","Harrisonburg Daily News - 1907 January 17","4","3281"
"1907","Harrisonburg Daily News - 1907 March 30","4","3343"
"1908","Harrisonburg Daily News - 1908 October 24","4","3724"
"1908","Harrisonburg Daily News - 1908 November 27","4","3734"
"1909","Harrisonburg Daily News - 1909 March 08","4","3823"
"1909","Harrisonburg Daily News - 1909 April 24","4","3858"
"1910","Harrisonburg Daily News - 1910 May 10","4","3998"
"1911","Harrisonburg Daily News - 1911 August 28","4","4110"
"1907","Daily News Record - 1907 December 19","4","3264"
"1910","Daily News Record - 1910 May 24","4","3967"
"1913","Daily News Record - 1913 August 29","6","4202"
"1914","Daily News Record - 1914 February 12","6","4470"
"1914","Daily News Record - 1914 February 17","4","4474"
"1914","Daily News Record - 1914 March 14","6","4494"
"1914","Daily News Record - 1914 March 20","8","4498"
"1914","Daily News Record - 1914 October 31","5","4586"
"1915","Daily News Record - 1915 February 23","6","4658"
"1915","Daily News Record - 1915 June 07","6","4724"
"1915","Daily News Record - 1915 July 31","6","4759"
"1915","Daily News Record - 1915 August 05","6","4762"
"1916","Daily News Record - 1916 February 14","6","4916"
"1916","Daily News Record - 1916 July 17","4","5040"
"1916","Daily News Record - 1916 December 16","8","5172"
"1917","Daily News Record - 1917 March 12","6","5242"
"1917","Daily News Record - 1917 August 10","4","5370"
"1917","Daily News Record - 1917 September 13","8","5398"
"1918","Daily News Record - 1918 September 26","6","5711"
"1920","Daily News Record - 1920 January 10","8","6016"
"1920","Daily News Record - 1920 November 13","8","6261"
"1921","Daily News Record - 1921 March 03","6","6349"
"1921","Daily News Record - 1921 March 31","8","6371"
"1921","Daily News Record - 1921 October 26","8","6455"
"1922","Daily News Record - 1922 February 27","5","6555"
"1922","Daily News Record - 1922 April 11","6","6585"
"1922","Daily News Record - 1922 May 10","6","6610"
"1923","Daily News Record - 1923 December 12","8","7043"
"1924","Daily News Record - 1924 January 03","6","7058"
"1924","Daily News Record - 1924 January 30","6","7078"
"1924","Daily News Record - 1924 February 27","8","7101"
"1924","Daily News Record - 1924 May 08","9","7162"
"1924","Daily News Record - 1924 September 26","8","7279"
"1925","Daily News Record - 1925 October 06","8","7592"
"1925","Daily News Record - 1925 November 14","8","7626"
"1926","Daily News Record - 1926 February 19","10","7704"
