"year","news","pages","sort","RandID"
"1903","Harrisonburg Daily News - 1903 March 21","8","2229","821238047385"
"1904","Harrisonburg Daily News - 1904 April 27","6","2460","943972979842"
"1905","Harrisonburg Daily News - 1905 May 09","4","2671","744480899141"
"1906","Harrisonburg Daily News - 1906 January 10","4","2942","210883916450"
"1906","Harrisonburg Daily News - 1906 May 10","8","2974","322655805585"
"1906","Harrisonburg Daily News - 1906 June 02","8","2994","650136085745"
"1906","Harrisonburg Daily News - 1906 October 10","4","3102","106769825669"
"1907","Harrisonburg Daily News - 1907 January 24","4","3287","396575503330"
"1907","Harrisonburg Daily News - 1907 March 14","4","3329","46685097683"
"1907","Harrisonburg Daily News - 1907 May 13","4","3379","201295001992"
"1907","Harrisonburg Daily News - 1907 September 19","6","3487","755201293584"
"1908","Harrisonburg Daily News - 1908 October 28","4","3727","58565724936"
"1910","Harrisonburg Daily News - 1910 May 11","4","3999","300661565976"
"1910","Harrisonburg Daily News - 1910 May 28","4","4011","3884452047"
"1910","Harrisonburg Daily News - 1910 June 27","4","4032","567716162981"
"1911","Harrisonburg Daily News - 1911 May 29","4","4103","227451590154"
"1913","Harrisonburg Daily News - 1913 March 07","6","4286","220747169261"
"1913","Daily News Record - 1913 November 08","6","4227","172926598839"
"1915","Daily News Record - 1915 June 03","12","4721","95463771817"
"1915","Daily News Record - 1915 July 28","6","4756","617441488461"
"1915","Daily News Record - 1915 September 07","8","4786","293759928828"
"1916","Daily News Record - 1916 June 28","6","5027","314082758055"
"1916","Daily News Record - 1916 August 30","4","5078","800799083807"
"1916","Daily News Record - 1916 October 11","6","5117","75316135762"
"1916","Daily News Record - 1916 November 03","8","5136","490087608884"
"1916","Daily News Record - 1916 November 07","6","5139","684238827647"
"1916","Daily News Record - 1916 December 18","12","5173","874683263626"
"1917","Daily News Record - 1917 March 30","8","5259","541626430437"
"1917","Daily News Record - 1917 July 20","6","5352","955130533461"
"1917","Daily News Record - 1917 October 22","4","5431","404491801456"
"1918","Daily News Record - 1918 January 28","8","5513","306330964630"
"1918","Daily News Record - 1918 March 13","6","5550","868853294065"
"1919","Daily News Record - 1919 March 25","6","5845","239487990289"
"1919","Daily News Record - 1919 April 21","6","5866","322738387276"
"1919","Daily News Record - 1919 May 23","8","5888","635703075365"
"1920","Daily News Record - 1920 August 07","6","6188","568347354251"
"1920","Daily News Record - 1920 November 02","8","6253","649445175635"
"1920","Daily News Record - 1920 November 04","8","6254","426481548981"
"1920","Daily News Record - 1920 November 24","10","6270","183455888358"
"1920","Daily News Record - 1920 December 18","12","6290","957969542435"
"1921","Daily News Record - 1921 February 18","10","6340","68415047907"
"1921","Daily News Record - 1921 April 13","8","6381","253697770333"
"1921","Daily News Record - 1921 May 06","8","6399","525848718188"
"1921","Daily News Record - 1921 May 09","8","6400","119922104138"
"1921","Daily News Record - 1921 December 05","6","6486","934960161070"
"1922","Daily News Record - 1922 July 05","6","6651","411074610802"
"1922","Daily News Record - 1922 December 22","8","6748","254943266213"
"1923","Daily News Record - 1923 February 26","4","6802","256257075718"
"1923","Daily News Record - 1923 April 16","6","6844","297596447744"
"1924","Daily News Record - 1924 March 06","8","7108","203277015272"
"1925","Daily News Record - 1925 February 27","10","7406","45254377915"
"1925","Daily News Record - 1925 September 15","8","7574","801278586600"
"1925","Daily News Record - 1925 October 03","14","7590","626287344585"
"1926","Daily News Record - 1926 September 04","10","7868","217699271613"
"1927","Daily News Record - 1927 January 17","6","7979","334081353087"
"1927","Daily News Record - 1927 January 28","10","7988","245021070404"
"1927","Daily News Record - 1927 February 24","10","8010","398775727640"
"1927","Daily News Record - 1927 April 15","12","8052","370370415271"
"1927","Daily News Record - 1927 June 23","8","8109","376266661704"
"1927","Daily News Record - 1927 August 29","8","8164","689763812568"
"1927","Daily News Record - 1927 December 31","8","8267","575678528459"
"1928","Daily News Record - 1928 April 23","8","8362","746174950753"
"1928","Daily News Record - 1928 December 01","8","8544","869168693375"
"1929","Daily News Record - 1929 September 20","12","8783","1171532503"
"1929","Daily News Record - 1929 November 29","12","8841","945564874396"
"1929","Daily News Record - 1929 December 05","10","8846","644922532816"
"1930","Daily News Record - 1930 March 24","8","8936","944144701597"
"1930","Daily News Record - 1930 June 06","10","8999","240932891936"
"1930","Daily News Record - 1930 July 16","8","9032","785245439813"
"1930","Daily News Record - 1930 August 05","8","9049","28156270305"
"1931","Daily News Record - 1931 March 02","6","9223","624169545983"
"1931","Daily News Record - 1931 May 07","8","9280","474566682869"
"1932","Daily News Record - 1932 June 23","8","9626","579565313744"
"1933","Daily News Record - 1933 February 10","8","9818","913517838666"
"1933","Daily News Record - 1933 May 29","8","9909","862185712693"
"1933","Daily News Record - 1933 August 08","8","9968","55982830719"
"1934","Daily News Record - 1934 January 05","10","10093","357042820882"
"1935","Daily News Record - 1935 January 21","8","10412","67649548608"
"1935","Daily News Record - 1935 April 15","8","10483","75561861373"
"1935","Daily News Record - 1935 December 27","10","10698","95242824647"
"1936","Daily News Record - 1936 April 14","8","10789","672800133674"
"1936","Daily News Record - 1936 May 07a","1","10810","73151458877"
"1936","Daily News Record - 1936 May 13","8","10815","576940802260"
"1936","Daily News Record - 1936 December 05","12","10987","441101133606"
"1936","Daily News Record - 1936 December 08","13","10989","215789055617"
"1937","Daily News Record - 1937 April 27","10","11104","832457940008"
"1937","Daily News Record - 1937 May 06","12","11112","620341302282"
"1937","Daily News Record - 1937 May 14","18","11119","534531704811"
"1938","Daily News Record - 1938 April 16","10","11399","681874040328"
"1938","Daily News Record - 1938 October 31","10","11565","605550724028"
"1938","Daily News Record - 1938 November 26","8","11585","24861274853"
"1939","Daily News Record - 1939 January 26","12","11635","144396040036"
"1939","Daily News Record - 1939 February 13","8","11650","298744816472"
"1939","Daily News Record - 1939 March 23","10","11682","75511268838"
"1939","Daily News Record - 1939 May 01","8","11715","150270944280"
"1939","Daily News Record - 1939 May 24","14","11735","216765062009"
"1940","Daily News Record - 1940 January 29","8","11943","56321380968"
"1940","Daily News Record - 1940 June 11","8","12057","14108317702"
"1940","Daily News Record - 1940 June 19","24","12065","702905994310"
"1940","Daily News Record - 1940 August 24","10","12117","43839585957"
"1940","Daily News Record - 1940 November 27","10","12195","647960227425"
"1953","Daily News Record - 1953 June 09","14","12341","138531517019"
"1953","Daily News Record - 1953 July 09","12","12366","199083657627"
"1953","Daily News Record - 1953 August 22","14","12404","179667775498"
"1953","Daily News Record - 1953 September 17","20","12425","277603489284"
"1954","Daily News Record - 1954 January 14","16","12523","639829998294"
"1954","Daily News Record - 1954 March 18","20","12576","48529675606"
"1954","Daily News Record - 1954 June 07","14","12644","792952135629"
"1954","Daily News Record - 1954 August 25","14","12711","392963799539"
"1954","Daily News Record - 1954 September 13","12","12726","754012557863"
"1955","Daily News Record - 1955 January 03","12","12817","687110910319"
"1955","Daily News Record - 1955 June 01","12","12943","327319129901"
"1955","Daily News Record - 1955 September 12","14","13029","938540762818"
"1955","Daily News Record - 1955 September 19","12","13035","532877657037"
"1961","Daily News Record - 1961 July 25","16","13142","181906716588"
"1961","Daily News Record - 1961 December 09","16","13257","59355700073"
"1966","Daily News Record - 1966 November 04","20","13608","396112368882"
"1966","Daily News Record - 1966 December 10","32","13638","414780426468"
"1967","Daily News Record - 1967 March 20","14","13721","689028051587"
"1967","Daily News Record - 1967 May 15","16","13769","517490997241"
