"year","news","pages","sort","RandID"
"1955","Daily News Record - 1955 February 15","12","12854","381725521114"
"1955","Daily News Record - 1955 February 16","12","12855","907189559585"
"1955","Daily News Record - 1955 February 17","20","12856","80641938892"
"1955","Daily News Record - 1955 February 18","18","12857","907447330476"
"1955","Daily News Record - 1955 February 19","10","12858","361807071165"
"1955","Daily News Record - 1955 February 21","12","12859","833234822122"
"1955","Daily News Record - 1955 February 23","12","12860","340083650990"
"1955","Daily News Record - 1955 February 24","16","12861","42049539352"
"1955","Daily News Record - 1955 February 25","18","12862","502875696605"
"1955","Daily News Record - 1955 February 26","16","12863","681077072723"
"1955","Daily News Record - 1955 February 28","12","12864","345959719393"
"1955","Daily News Record - 1955 March 01","12","12865","58219709030"
"1955","Daily News Record - 1955 March 02","12","12866","654966095145"
"1955","Daily News Record - 1955 March 03","18","12867","264560217343"
"1955","Daily News Record - 1955 March 04","16","12868","205353244258"
"1955","Daily News Record - 1955 March 05","14","12869","173911454895"
"1955","Daily News Record - 1955 March 07","12","12870","239841686685"
"1955","Daily News Record - 1955 March 08","10","12871","966682179541"
"1955","Daily News Record - 1955 March 09","16","12872","592288617765"
"1955","Daily News Record - 1955 March 10","20","12873","511481014356"
"1955","Daily News Record - 1955 March 11","18","12874","527487954049"
"1955","Daily News Record - 1955 March 12","14","12875","281847947709"
"1955","Daily News Record - 1955 March 14","12","12876","39602386366"
"1955","Daily News Record - 1955 March 15","12","12877","621035131256"
"1955","Daily News Record - 1955 March 16","20","12878","545724413171"
"1955","Daily News Record - 1955 March 17","18","12879","619270121386"
"1955","Daily News Record - 1955 March 18","16","12880","188899173151"
"1955","Daily News Record - 1955 March 19","18","12881","300464159109"
"1955","Daily News Record - 1955 March 21","12","12882","655924714689"
"1955","Daily News Record - 1955 March 22","12","12883","284539661730"
"1955","Daily News Record - 1955 March 23","14","12884","864101693529"
"1955","Daily News Record - 1955 March 24","20","12885","293733869456"
"1955","Daily News Record - 1955 March 25","16","12886","688185941401"
"1955","Daily News Record - 1955 March 26","16","12887","393303613732"
"1955","Daily News Record - 1955 March 28","12","12888","210080459951"
"1955","Daily News Record - 1955 March 29","10","12889","426548514210"
"1955","Daily News Record - 1955 March 30","16","12890","670889728539"
"1955","Daily News Record - 1955 March 31","20","12891","839150630257"
"1955","Daily News Record - 1955 April 01","16","12892","295075333847"
"1955","Daily News Record - 1955 April 02","14","12893","747286753278"
"1955","Daily News Record - 1955 April 04","12","12894","612449396305"
"1955","Daily News Record - 1955 April 05","14","12895","337219190470"
"1955","Daily News Record - 1955 April 06","14","12896","514097645502"
"1955","Daily News Record - 1955 April 07","20","12897","281151121315"
"1955","Daily News Record - 1955 April 08","18","12898","497138846638"
"1955","Daily News Record - 1955 April 09","18","12899","995707467743"
"1955","Daily News Record - 1955 April 11","14","12900","850228165066"
"1955","Daily News Record - 1955 April 12","12","12901","76760769932"
"1955","Daily News Record - 1955 April 13","14","12902","642250538641"
"1955","Daily News Record - 1955 April 14","20","12903","829377864619"
"1955","Daily News Record - 1955 April 15","16","12904","551702770406"
"1955","Daily News Record - 1955 April 16","16","12905","326956284177"
"1955","Daily News Record - 1955 April 18","12","12906","830431419653"
"1955","Daily News Record - 1955 April 19","12","12907","122313294898"
"1955","Daily News Record - 1955 April 20","17","12908","64904219991"
"1955","Daily News Record - 1955 April 21","18","12909","479374434630"
"1955","Daily News Record - 1955 April 22","20","12910","178897251383"
"1955","Daily News Record - 1955 April 23","16","12911","571596355438"
"1955","Daily News Record - 1955 April 25","14","12912","126855001529"
"1955","Daily News Record - 1955 April 26","12","12913","417389788929"
"1955","Daily News Record - 1955 April 27","16","12914","536327333095"
"1955","Daily News Record - 1955 April 28","20","12915","699246592750"
"1955","Daily News Record - 1955 April 29","20","12916","765532789550"
"1955","Daily News Record - 1955 April 30","16","12917","988309169064"
"1955","Daily News Record - 1955 May 02","14","12918","308593186267"
"1955","Daily News Record - 1955 May 03","12","12919","106665131942"
"1955","Daily News Record - 1955 May 04","16","12920","582306607640"
"1955","Daily News Record - 1955 May 05","24","12921","383244003261"
"1955","Daily News Record - 1955 May 06","18","12922","6076327694"
"1955","Daily News Record - 1955 May 07","16","12923","763999998125"
"1955","Daily News Record - 1955 May 09","14","12924","98018353526"
"1955","Daily News Record - 1955 May 10","12","12925","131874683790"
"1955","Daily News Record - 1955 May 11","16","12926","478181820490"
"1955","Daily News Record - 1955 May 12","20","12927","676259522827"
"1955","Daily News Record - 1955 May 13","18","12928","132710907721"
"1955","Daily News Record - 1955 May 14","16","12929","765360104513"
"1955","Daily News Record - 1955 May 16","14","12930","754755854926"
"1955","Daily News Record - 1955 May 17","12","12931","948665290518"
"1955","Daily News Record - 1955 May 18","17","12932","158730608931"
"1955","Daily News Record - 1955 May 19","19","12933","521934614522"
"1955","Daily News Record - 1955 May 20","20","12934","649467173574"
"1955","Daily News Record - 1955 May 21","18","12935","485650142801"
"1955","Daily News Record - 1955 May 23","14","12936","317908441921"
"1955","Daily News Record - 1955 May 24","12","12937","822273686666"
"1955","Daily News Record - 1955 May 25","16","12938","796813717702"
"1955","Daily News Record - 1955 May 26","20","12939","301070820376"
"1955","Daily News Record - 1955 May 27","20","12940","325750846050"
"1955","Daily News Record - 1955 May 28","18","12941","625498662326"
"1955","Daily News Record - 1955 May 31","18","12942","592267434374"
"1955","Daily News Record - 1955 June 01","12","12943","691618885320"
"1955","Daily News Record - 1955 June 02","18","12944","799047615176"
"1955","Daily News Record - 1955 June 03","18","12945","191729996243"
"1955","Daily News Record - 1955 June 04","16","12946","584171746209"
"1955","Daily News Record - 1955 June 06","12","12947","331077628794"
"1955","Daily News Record - 1955 June 07","12","12948","638030922132"
"1955","Daily News Record - 1955 June 08","16","12949","223387487731"
"1955","Daily News Record - 1955 June 09","20","12950","226357748251"
"1955","Daily News Record - 1955 June 10","20","12951","679986731732"
"1955","Daily News Record - 1955 June 11","16","12952","970196063479"
