"placename","othername","designator","location","remarks","infosource"
"Abbott Iron Co","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Abrams Mtn.","   -","Mountain","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Antioch Baptist Church","   -","Church","Shenandoah County, north of Brocks Gap","Baptist","HRHS Churches Database 2013"
"Armentrout Family Cemetery","   -","Cemetery","Penn Laird area, Rockingham County, Virginia. From Harrisonburg take Route 33 East towards Penn Laird. Turn right on to Route 655 (Lawyers Road). Go 4/10 mile and turn right on to Route 1801 (Donnagail Drive). Cemetery is located in the backyard behi","   -","HRHS Cemeteries Database 2013"
"Athens Cemetery (*)","   -","Cemetery","Northeast of Harrisonburg, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North and turn right onto Route 721 (Fellowship Road). Route 721 intersects Route 717 (Indian Trail Road) and turn left. Continue on Route 717 and go p","* Negro","HRHS Cemeteries Database 2013"
"Austin Mountain","   -","Mountain","Elevation 2658' on Blue Ridge about 4 mi E of Grottoes","Bgn 1933","HRHS Archives # 86 Whitmer"
"B.S.","   -","Other","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Back Road","Old Back Road","Road","   -","Named 'old Back Road' on VA DoH 1939-32","HRHS Archives # 86 Whitmer"
"Baltimore House","   -","Hotel","About 2.9 mi S of Lairds Knob in Rockingham Springs Resort","   -","HRHS Archives # 86 Whitmer"
"Beaver Creek Brethren Church Cemetery","   -","Cemetery","Northeast of Spring Creek area, Rockingham County, Virginia.  From Harrisonburg, Virginia, take Route 42 South (John Wayland Hwy) to Dayton.  Go right on Route 257 (Ottobine Road), then go 4.0 miles and turn left onto Road 752 (Silver Creek Road).  (","   -","HRHS Cemeteries Database 2013"
"Beaver Creek Church","Beaver Creek Dunkard Church","Church","On SR 752. About 2 mi SE of Ottobine","Named 'Beaver Creek Dunkard Church' on Lake G, p.10, Show G, p.6, Pit G","HRHS Archives # 86 Whitmer"
"Beery & Brown","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Bennett Run School","   -","School","SR 824 about 1.6 mi N of Criders.","   -","HRHS Archives # 86 Whitmer"
"Berlin Mill","   -","Mill","Bridgewater","   -","HRHS Mill Books"
"Bethlehem Christian Church","(See also: Bethlehem United Church of Christ)","Church","Tenth Legion","Christian","HRHS Churches Database 2013"
"Black Lick Run","   -","Stream","Rises about 6.3 mi NW of Singers Glen, near 38 36 57N, 78 59 50W, flows ESE about 1.5 mi into Slate Lick Branch near 38 36 39N, 78 58 24W, about 5.2 mi NW of Singers Glen","   -","HRHS Archives # 86 Whitmer"
"Blose Family Cemetery","   -","Cemetery","Verbena, near Elkton, Rockingham County, Virginia.  About one mile due east of the tiny village of Verbena, along Naked Creek, at the junction of Road 609 (Naked Creek Road) and 603 (Blose Road), located on the farm of Reece Dean (dec'd March 2002).","   -","HRHS Cemeteries Database 2013"
"Blosser Family Cemetery","   -","Cemetery","Dayton, Rockingham County, Virginia.  From Harrisonburg take Route 42 South (John Wayland Highway) and travel approx. 2 miles.  On the right side of the road you will see a sign 'Sunny Slope' which is on the Charles Wampler property.  Turn into his d","   -","HRHS Cemeteries Database 2013"
"Blue Ridge","Blue Ridge Mountains, Blue Ridge Mountain","Mountain","SE border of Rok Runs along crest of Blue Ridge","Named 'Blue Ridge Mountains' on DoHT 1977,75-69,39, Lake G,p.7,38-39. Named 'Blue Ridge Mountain' on VA DoH 1967-41, 36-32","HRHS Archives # 86 Whitmer"
"Bonnie Brook","Bonnie Run","Stream","Rises about 3.4 mi S of Lairds Knob, near 38 24 00N, 78 43 55W, flows SE about 3.7 mi into North Fork Shenandoah River near 38 22 18N, 78 40 43W, about 3 mi E of McGaheysville.","Named 'Bonnie Run' on Pit G","HRHS Archives # 86 Whitmer"
"Boones Run","   -","Stream","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Bradburn Mills","Hinton Roller Mills","Mill","Hinton","   -","HRHS Mill Books"
"Bridgewater Methodist Episcopal Church","(See also, Bridgewater Methodist Church and Bridgewater United Methodist Church)","Church","Bridgewater. Intersection of N. Main St. and Green St. SW corner","Methodist Episcopal","HRHS Churches Database 2013"
"Bridle Path (over Little No.Mtn)","   -","Road","A trail extending Generally NW-SE over Little North Mountain. Probably begins on SR 612 near 38 37 03N, 78 55 15W, passes over Little North Mountain near 38 36 34N, 78 54 04W, and ends as part of SR 776 at its northern intersection with SR 613 near 3","   -","HRHS Archives # 86 Whitmer"
"Briery Branch Church of the Brethren","   -","Church","Briery Branch. Intersection of Briery Branch Rd and David Cupp Rd.","Church of the Brethren","HRHS Churches Database 2013"
