"placename","othername","designator","location","remarks","infosource","RandID"
"1.0.0.F.","   -","Other","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013","183437311862"
"120th Mile Siding","   -","Railroad","A railroad siding on what was then the Shenandoah Valley Railroad. Extended about .25 mi. About 2.4 mi SSE of McGaheysville.","   -","HRHS Archives # 86 Whitmer","410581391395"
"A. D. Millers Road","   -","Road","A private driveway extending generally E-W. Begins intersection with SR 753 about .5 mi S of Linville end ends about .6 mi SW of Linville. Extends about .3 mi.","   -","HRHS Archives # 86 Whitmer","138079827689"
"A. J. Miller Mill","   -","Mill","Sangerville","   -","HRHS Mill Books","71817959050"
"A. W. Adams Place Cemetery","   -","Cemetery","Melrose area, Rockingham County, Virginia.  Was located west of Route 721 (Longs Pump Road), approximately one-half mile west of Route 11 at location of a new house along lane.","   -","HRHS Cemeteries Database 2013","968351594300"
"Abbott Iron C.","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013","166709006982"
"Abbott Iron Co","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013","156148137195"
"Abbott Iron Company","   -","Business","Doubtless the proprietors of Mt. Vernon Forge & Mt. Vernon Furnace, & owners of buildings in the Grottoes area. Locations 1. near Mt. Vernon Forge in Grottoes & 2. near Sarah Jane (Mt. Vernon) Furnace, near S end of SR 708. About 3.4 mi SE of Port Re","   -","HRHS Archives # 86 Whitmer","210530226159"
"Abbott Ridge","   -","Mountain","Elevation about 2300'. Extends ESE-WNW about 1.2 mi from N end of Trayfoot Mountain. Center near 38 14 01N, 78 46 04W","   -","HRHS Archives # 86 Whitmer","245352767632"
"Abrams Mountain","Piney Mountain","Mountain","   -","Both Abrams Mountain & Piney Mountain shown as Abrams Mountain on these maps.","HRHS Archives # 86 Whitmer","610979882826"
"Abrams Mtn.","   -","Mountain","Stonewall","P. 30","1885 Lakes Atlas Revised 2013","685420092909"
"Academy","Oak Hill","School","McGaheysville","P. 27","1885 Lakes Atlas Revised 2013","505526222046"
"Academy","Trinity","School","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013","419114035118"
"Academy (P.R.)","   -","School","Port Republic","P. 22","1885 Lakes Atlas Revised 2013","780946416629"
"Academy N. Mtn Sch","   -","School","West Central","P. 14","1885 Lakes Atlas Revised 2013","629803860400"
"Adam M. Long Family Cemetery","   -","Cemetery","Near Melrose, Rockingham County, Virginia. From downtown Harrisonburg, take Route 11 north (No. Main Street, name changes to No. Valley Pike) and go 6.3 miles to Route 721 (Fellowship Road).  Turn right and go 9/10ths of a mile, 0.1 mile past the Fel","   -","HRHS Cemeteries Database 2013","552767538320"
"Addison Harper?s Home","   -","Church","Brock?s Gap","Dunkard","HRHS Churches Database 2013","179119963869"
"Almond P. O.","   -","Post Office","Stonewall","P. 31","1885 Lakes Atlas Revised 2013","574124213656"
"Almond Post Office","   -","Post Office","On U.S. Rt 340 about 2.5 mi SSE of McGaheysville","   -","HRHS Archives # 86 Whitmer","770838935923"
"Altaffer Family Cemetery","   -","Cemetery","Rockingham County, Virginia.  Route 668, present (1965) owner of farm is Mr. Homer C. Koontz.","   -","HRHS Cemeteries Database 2013","795452010193"
"Amberly","P. O.","Community","East Central","P. 12","1885 Lakes Atlas Revised 2013","601252771748"
"Amberly","   -","Community","   -","   -","Other Sources","465367097921"
"Amberly Post Office","   -","Post Office","At southern intersection of SR 765 and 910. About 3.8 mi E of Mount Clinton","This feature was added by hand to copy of Lake's Atlas which was used by Historical Society as a source for their reprint.","HRHS Archives # 86 Whitmer","211947636249"
"Ames Methodist Church (Colored)","Refer to: Bridgewater Methodist Episcopal Church South (Colored)","Church","Bridgewater","Methodist","HRHS Churches Database 2013","459277895028"
"Ames Methodist Church Cemetery (*)","   -","Cemetery","Bridgewater, Rockingham County, Virginia.  Refer to Greenwood Cemetery.","* Negro","HRHS Cemeteries Database 2013","341684587460"
"Ammon Cemetery","   -","Cemetery","McGaheysville, Rockingham County, Virginia.  Near the old Harrisonburg power dam in McGaheysville on the Shenandoah River, which was original site of Ammon Mill.","   -","HRHS Cemeteries Database 2013","726137327552"
"Ammon Mill","   -","Mill","Three Springs","   -","HRHS Mill Books","786855092366"
"Anderson Family Cemetery","   -","Cemetery","Ottobine area, Rockingham County, Virginia.  Located south east of junction of Route 742 (Waggy?s Creek Road) and Route 731 (Daniel Cupp Road) on Dr. Homan?s place, (2007 owned by John Zimmerman) across creek and field from Ottobine old Fulton school","   -","HRHS Cemeteries Database 2013","632177207754"
