"placename","othername","designator","location","remarks","infosource"
"1.0.0.F.","   -","Other","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"120th Mile Siding","   -","Railroad","A railroad siding on what was then the Shenandoah Valley Railroad. Extended about .25 mi. About 2.4 mi SSE of McGaheysville.","   -","HRHS Archives # 86 Whitmer"
"A. D. Millers Road","   -","Road","A private driveway extending generally E-W. Begins intersection with SR 753 about .5 mi S of Linville end ends about .6 mi SW of Linville. Extends about .3 mi.","   -","HRHS Archives # 86 Whitmer"
"A. J. Miller Mill","   -","Mill","Sangerville","   -","HRHS Mill Books"
"A. W. Adams Place Cemetery","   -","Cemetery","Melrose area, Rockingham County, Virginia.  Was located west of Route 721 (Longs Pump Road), approximately one-half mile west of Route 11 at location of a new house along lane.","   -","HRHS Cemeteries Database 2013"
"Abbott Iron C.","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Abbott Iron Co","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Abbott Iron Company","   -","Business","Doubtless the proprietors of Mt. Vernon Forge & Mt. Vernon Furnace, & owners of buildings in the Grottoes area. Locations 1. near Mt. Vernon Forge in Grottoes & 2. near Sarah Jane (Mt. Vernon) Furnace, near S end of SR 708. About 3.4 mi SE of Port Re","   -","HRHS Archives # 86 Whitmer"
"Abbott Ridge","   -","Mountain","Elevation about 2300'. Extends ESE-WNW about 1.2 mi from N end of Trayfoot Mountain. Center near 38 14 01N, 78 46 04W","   -","HRHS Archives # 86 Whitmer"
"Abrams Mountain","Piney Mountain","Mountain","   -","Both Abrams Mountain & Piney Mountain shown as Abrams Mountain on these maps.","HRHS Archives # 86 Whitmer"
"Abrams Mtn.","   -","Mountain","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Academy","Oak Hill","School","McGaheysville","P. 27","1885 Lakes Atlas Revised 2013"
"Academy","Trinity","School","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013"
"Academy (P.R.)","   -","School","Port Republic","P. 22","1885 Lakes Atlas Revised 2013"
"Academy N. Mtn Sch","   -","School","West Central","P. 14","1885 Lakes Atlas Revised 2013"
"Adam M. Long Family Cemetery","   -","Cemetery","Near Melrose, Rockingham County, Virginia. From downtown Harrisonburg, take Route 11 north (No. Main Street, name changes to No. Valley Pike) and go 6.3 miles to Route 721 (Fellowship Road).  Turn right and go 9/10ths of a mile, 0.1 mile past the Fel","   -","HRHS Cemeteries Database 2013"
"Addison Harper?s Home","   -","Church","Brock?s Gap","Dunkard","HRHS Churches Database 2013"
"Almond P. O.","   -","Post Office","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Almond Post Office","   -","Post Office","On U.S. Rt 340 about 2.5 mi SSE of McGaheysville","   -","HRHS Archives # 86 Whitmer"
"Altaffer Family Cemetery","   -","Cemetery","Rockingham County, Virginia.  Route 668, present (1965) owner of farm is Mr. Homer C. Koontz.","   -","HRHS Cemeteries Database 2013"
"Amberly","P. O.","Community","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Amberly","   -","Community","   -","   -","Other Sources"
